DR0,2024-07-11 15:05:21,  START OF TEST ,868.3,-112,428,-1,20
DR10,2024-07-11 15:08:42,1/14,868.6,-120,-1632,0,6
DR9,2024-07-11 15:12:51,2/2,868.0,-127,329,0,4
DR9,2024-07-11 15:15:22,1/14,868.0,-116,325,0,4
DR6,2024-07-11 15:16:10,1/8,866.1,-110,0,-6,8
DR2,2024-07-11 15:17:00,1/14,865.9,-112,405,-11,5
DR10,2024-07-11 15:18:43,2/2,868.6,-128,-1607,0,6
DR8,2024-07-11 15:20:23,1/2,868.0,-124,324,0,4
DR9,2024-07-11 15:21:12,1/8,868.0,-122,320,0,4
DR10,2024-07-11 15:22:03,2/14,868.6,-119,-1637,0,6
DR0,2024-07-11 15:23:42,1/14,866.1,-108,409,-7,6
DR9,2024-07-11 15:25:22,2/14,868.0,-116,322,0,4
DR9,2024-07-11 15:27:52,3/14,868.0,-118,321,0,4
DR8,2024-07-11 15:31:13,1/8,868.0,-121,321,0,4
DR0,2024-07-11 15:33:42,1/14,865.9,-113,410,-6,5
DR1,2024-07-11 15:34:32,1/14,865.9,-117,405,-5,5
DR10,2024-07-11 15:37:04,3/2,868.6,-138,-1629,0,6
DR8,2024-07-11 15:39:34,2/2,868.0,-126,317,0,4
DR8,2024-07-11 15:41:14,2/8,868.0,-121,315,0,4
DR11,2024-07-11 15:42:53,2/2,868.6,-130,-1635,0,6
DR10,2024-07-11 15:45:25,3/14,868.6,-118,-1632,0,6
DR1,2024-07-11 15:46:12,1/2,866.1,-112,404,-14,6
DR10,2024-07-11 15:47:04,1/8,868.6,-126,-1640,0,6
DR1,2024-07-11 15:49:32,1/14,866.1,-111,405,-2,6
DR9,2024-07-11 15:50:23,2/8,868.0,-118,316,0,4
DR9,2024-07-11 15:51:14,3/2,868.0,-127,321,0,4
DR0,2024-07-11 15:52:54,1/8,865.9,-108,412,-16,5
DR9,2024-07-11 15:59:34,4/14,868.0,-118,327,0,4
DR0,2024-07-11 16:02:04,1/2,865.9,-111,418,-19,5
DR9,2024-07-11 16:02:54,5/14,868.0,-118,328,0,4
DR10,2024-07-11 16:04:35,4/14,868.6,-117,-1625,0,6
DR9,2024-07-11 16:07:04,4/2,868.0,-127,313,0,4
DR11,2024-07-11 16:07:54,3/2,868.6,-129,-1626,0,6
DR11,2024-07-11 16:09:34,1/14,868.6,-117,-1629,0,6
DR1,2024-07-11 16:10:24,1/8,865.9,-113,418,-10,5
DR10,2024-07-11 16:14:36,5/14,868.6,-118,-1618,0,6
DR2,2024-07-11 16:15:23,1/2,865.9,-119,0,-13,5
DR8,2024-07-11 16:16:16,1/14,868.0,-117,331,0,4
DR8,2024-07-11 16:21:16,3/2,868.0,-127,331,0,4
DR6,2024-07-11 16:22:03,3/14,866.1,-111,0,-6,8
DR8,2024-07-11 16:25:26,3/8,868.0,-118,332,0,4
DR8,2024-07-11 16:27:06,2/14,868.0,-113,337,0,4
DR10,2024-07-11 16:30:26,6/14,868.6,-117,-1627,0,6
DR0,2024-07-11 16:32:05,2/14,866.1,-108,425,-13,6
DR2,2024-07-11 16:33:44,2/8,866.1,-109,417,-9,6
DR9,2024-07-11 16:34:36,6/14,868.0,-113,335,0,4
DR10,2024-07-11 16:35:27,5/2,868.6,-124,-1621,0,6
DR8,2024-07-11 16:42:57,3/14,868.0,-111,336,0,4
DR9,2024-07-11 16:45:26,3/8,868.0,-117,331,0,4
DR9,2024-07-11 16:46:17,7/14,868.0,-109,318,0,4
DR2,2024-07-11 16:48:45,3/8,866.1,-112,416,-9,6
DR0,2024-07-11 16:49:36,2/8,865.9,-108,425,-15,5
DR11,2024-07-11 16:52:57,2/14,868.6,-117,-1628,0,6
DR8,2024-07-11 16:56:18,4/2,868.0,-126,333,0,4
DR11,2024-07-11 16:57:57,3/14,868.6,-123,-1638,0,6
DR4,2024-07-11 17:00:25,1/14,866.1,-107,405,-8,6
DR9,2024-07-11 17:02:07,5/2,868.0,-126,336,0,4
DR1,2024-07-11 17:03:46,2/14,866.1,-107,415,-9,6
