5b24ff2,DR0,2024-07-25 08:49:20,170#################,865.9,-115,502,-20,5
1b24ff2,DR10,2024-07-25 08:49:43,102/2###############,868.6,-105,-1670,0,6
2b24ff2,DR10,2024-07-25 08:50:06,291/8###############,868.6,-107,-1632,0,6
1b24ff2,DR9,2024-07-25 08:50:32,98/2################,868.0,-108,283,0,4
2b24ff2,DR11,2024-07-25 08:50:55,293/8###############,868.6,-106,-1625,0,6
1b24ff2,DR6,2024-07-25 08:51:20,109/8###############,866.1,-102,0,3,8
3b24ff2,DR0,2024-07-25 08:51:21,21/8################,866.1,-113,424,-6,6
5b24ff2,DR0,2024-07-25 08:51:45,186#################,865.9,-114,496,-23,5
2b24ff2,DR9,2024-07-25 08:51:45,285/2###############,868.0,-108,329,0,4
4b24ff2,DR11,2024-07-25 08:51:45,739/14##############,868.6,-121,-1592,0,6
3b24ff2,DR0,2024-07-25 08:52:11,24/14###############,865.9,-111,425,1,5
2b24ff2,DR9,2024-07-25 08:52:35,318/14##############,868.0,-96,325,0,4
5b24ff2,DR0,2024-07-25 08:52:39,192#################,865.9,-110,523,-23,5
5b24ff2,DR0,2024-07-25 08:52:48,193#################,865.9,-116,506,-16,5
1b24ff2,DR2,2024-07-25 08:53:00,27/2################,866.1,-111,366,2,6
2b24ff2,DR9,2024-07-25 08:53:25,286/2###############,868.0,-108,324,0,4
5b24ff2,DR0,2024-07-25 08:53:42,199#################,865.9,-116,520,-20,5
3b24ff2,DR2,2024-07-25 08:53:50,33/2################,866.1,-116,416,-15,6
5b24ff2,DR0,2024-07-25 08:53:51,200#################,865.9,-115,505,-20,5
2b24ff2,DR1,2024-07-25 08:54:14,63/8################,865.7,-95,414,-12,4
5b24ff2,DR0,2024-07-25 08:54:18,203#################,865.9,-114,489,-14,5
5b24ff2,DR0,2024-07-25 08:54:27,204#################,865.9,-114,497,-19,5
5b24ff2,DR0,2024-07-25 08:54:36,205#################,865.9,-114,499,-17,5
3b24ff2,DR2,2024-07-25 08:54:40,27/14###############,866.1,-112,417,-3,6
5b24ff2,DR0,2024-07-25 08:54:54,207#################,865.9,-116,486,-9,5
5b24ff2,DR8,2024-07-25 08:54:59,208#################,868.0,-121,415,0,4
2b24ff2,DR2,2024-07-25 08:55:03,65/8################,865.9,-112,411,-7,5
5b24ff2,DR0,2024-07-25 08:55:04,208#################,865.9,-115,511,-6,5
5b24ff2,DR0,2024-07-25 08:55:12,209#################,865.9,-115,0,-11,5
5b24ff2,DR0,2024-07-25 08:55:22,210#################,865.9,-112,508,-9,5
5b24ff2,DR8,2024-07-25 08:55:26,211#################,868.0,-122,408,0,4
3b24ff2,DR2,2024-07-25 08:55:30,36/14###############,865.9,-111,418,2,5
5b24ff2,DR0,2024-07-25 08:55:31,211#################,865.9,-115,483,-10,5
1b24ff2,DR11,2024-07-25 08:55:32,102/2###############,868.6,-103,-1670,0,6
5b24ff2,DR8,2024-07-25 08:55:35,212#################,868.0,-122,418,0,4
5b24ff2,DR0,2024-07-25 08:55:49,213#################,865.9,-115,519,-14,5
5b24ff2,DR0,2024-07-25 08:56:07,215#################,865.9,-113,502,-14,5
5b24ff2,DR8,2024-07-25 08:56:20,217#################,868.0,-123,402,0,4
1b24ff2,DR11,2024-07-25 08:56:22,103/2###############,868.6,-104,-1632,0,6
5b24ff2,DR0,2024-07-25 08:56:25,217#################,865.9,-110,510,-21,5
5b24ff2,DR8,2024-07-25 08:56:29,218#################,868.0,-120,421,0,4
5b24ff2,DR9,2024-07-25 08:56:31,218#################,868.0,-118,428,0,4
5b24ff2,DR0,2024-07-25 08:56:34,218#################,865.9,-111,514,-3,5
5b24ff2,DR8,2024-07-25 08:56:38,219#################,868.0,-114,408,0,4
5b24ff2,DR0,2024-07-25 08:56:43,219#################,865.9,-110,489,-15,5
2b24ff2,DR10,2024-07-25 08:56:46,279/2###############,868.6,-111,-1607,0,6
5b24ff2,DR8,2024-07-25 08:56:47,220#################,868.0,-126,404,0,4
5b24ff2,DR0,2024-07-25 08:57:01,221#################,865.9,-116,490,-15,5
1b24ff2,DR5,2024-07-25 08:57:10,14/14###############,865.7,-97,355,0,4
5b24ff2,DR0,2024-07-25 08:57:19,223#################,865.9,-111,477,-20,5
2b24ff2,DR8,2024-07-25 08:57:36,308/8###############,868.0,-101,326,0,4
5b24ff2,DR0,2024-07-25 08:57:46,226#################,865.9,-115,505,-19,5
5b24ff2,DR0,2024-07-25 08:57:55,227#################,865.9,-115,479,-16,5
5b24ff2,DR0,2024-07-25 08:58:04,228#################,865.9,-115,480,-13,5
5b24ff2,DR0,2024-07-25 08:58:22,230#################,865.9,-114,490,-16,5
2b24ff2,DR0,2024-07-25 08:58:25,72/14###############,866.1,-104,418,9,6
4b24ff2,DR11,2024-07-25 08:58:26,740/14##############,868.6,-117,-1630,0,6
5b24ff2,DR0,2024-07-25 08:58:31,231#################,865.9,-112,0,-12,5
5b24ff2,DR0,2024-07-25 08:58:40,232#################,865.9,-114,490,-19,5
5b24ff2,DR8,2024-07-25 08:58:45,233#################,868.0,-132,379,0,4
1b24ff2,DR6,2024-07-25 08:58:50,113/14##############,866.1,-102,0,5,8
5b24ff2,DR0,2024-07-25 08:58:59,234#################,865.9,-115,501,-16,5
5b24ff2,DR0,2024-07-25 08:59:08,235#################,865.9,-115,475,-17,5
5b24ff2,DR0,2024-07-25 08:59:26,237#################,865.9,-113,485,-18,5
5b24ff2,DR0,2024-07-25 08:59:35,238#################,865.9,-113,483,-16,5
