5b24ff2,DR9,2024-07-25 16:01:52,1/2#################################################################################################,868.0,-87,452,0,4
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:01:58,1/2#################,868.0,-90,454,0,4
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:02:05,1/2################################################,868.0,-88,450,0,4
5b24ff2,DR8,2024-07-25 16:02:19,1/2#################,868.0,-88,449,0,4
5b24ff2,DR8,2024-07-25 16:02:27,1/2################################################,868.0,-87,448,0,4
1b24ff2,DR11,2024-07-25 16:02:34,117/14##############,868.6,-93,-1643,0,6
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:02:40,1/2#################,868.0,-89,452,0,4
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:02:46,1/2################################################,868.0,-94,449,0,4
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:02:54,1/2#################################################################################################,868.0,-85,448,0,4
4b24ff2,DR10,2024-07-25 16:02:58,749/14##############,868.6,-121,-1566,0,6
5b24ff2,DR9,2024-07-25 16:02:59,1/2#################,868.0,-84,453,0,4
5b24ff2,DR9,2024-07-25 16:03:06,1/2################################################,868.0,-84,452,0,4
1b24ff2,DR9,2024-07-25 16:03:24,111/14##############,868.0,-96,313,0,4
5b24ff2,DR0,2024-07-25 16:03:37,###########  START OF TEST ,868.3,-75,541,15,20
5b24ff2,DR0,2024-07-25 16:03:41,1/2#################,865.1,-104,534,7,1
5b24ff2,DR0,2024-07-25 16:03:46,1/2################################################,865.1,-102,534,11,1
2b24ff2,DR8,2024-07-25 16:03:48,319/2###############,868.0,-116,361,0,4
5b24ff2,DR0,2024-07-25 16:03:49,1/2#################,865.1,-97,534,14,1
5b24ff2,DR0,2024-07-25 16:03:54,1/2################################################,865.1,-96,534,14,1
5b24ff2,DR0,2024-07-25 16:03:57,1/2#################,865.1,-105,534,4,1
5b24ff2,DR0,2024-07-25 16:04:03,1/2################################################,865.1,-93,0,9,1
5b24ff2,DR0,2024-07-25 16:04:05,1/2#################,865.1,-97,539,11,1
5b24ff2,DR0,2024-07-25 16:04:11,1/2################################################,865.1,-99,534,8,1
1b24ff2,DR5,2024-07-25 16:04:12,20/8################,866.1,-105,391,4,6
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:04:17,1/2################################################,868.0,-86,449,0,4
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:04:25,1/2#################################################################################################,868.0,-83,453,0,4
5b24ff2,DR9,2024-07-25 16:04:30,1/2#################,868.0,-84,454,0,4
5b24ff2,DR9,2024-07-25 16:04:37,1/2################################################,868.0,-86,453,0,4
2b24ff2,DR10,2024-07-25 16:04:38,327/14##############,868.6,-105,-1598,0,6
5b24ff2,DR9,2024-07-25 16:04:44,1/2#################################################################################################,868.0,-83,452,0,4
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:04:50,1/2#################,868.0,-83,453,0,4
5b24ff2,UNKNOWN CODING RATE,2024-07-25 16:04:57,1/2################################################,868.0,-84,451,0,4
3b24ff2,DR6,2024-07-25 16:05:02,105/14##############,866.1,-99,0,-6,8
1b24ff2,DR10,2024-07-25 16:05:05,107/8###############,868.6,-98,-1645,0,6
5b24ff2,DR0,2024-07-25 16:05:10,###########  START OF TEST ,868.3,-77,541,15,20
5b24ff2,DR0,2024-07-25 16:05:14,1/2#################,865.1,-99,533,10,1
5b24ff2,DR0,2024-07-25 16:05:19,1/2################################################,865.1,-102,534,9,1
5b24ff2,DR0,2024-07-25 16:05:22,1/2#################,865.1,-105,534,8,1
2b24ff2,DR11,2024-07-25 16:05:27,349/14##############,868.6,-103,-1599,0,6
5b24ff2,DR0,2024-07-25 16:05:27,1/2################################################,865.1,-93,534,13,1
5b24ff2,DR0,2024-07-25 16:05:30,1/2#################,865.1,-91,535,14,1
5b24ff2,DR0,2024-07-25 16:05:35,1/2################################################,865.1,-90,534,14,1
5b24ff2,DR0,2024-07-25 16:05:38,1/2#################,865.1,-89,539,15,1
5b24ff2,DR0,2024-07-25 16:05:44,1/2################################################,865.1,-91,534,14,1
5b24ff2,M0CW137,2024-07-25 16:05:51,1/2################################################,868.0,-84,449,0,4
1b24ff2,DR4,2024-07-25 16:05:52,33/2################,865.9,-106,393,-3,5
3b24ff2,DR11,2024-07-25 16:05:54,106/8###############,868.6,-123,-1578,0,6
5b24ff2,M0CW137,2024-07-25 16:05:58,1/2#################################################################################################,868.0,-83,453,0,4
5b24ff2,DR9,2024-07-25 16:06:03,1/2#################,868.0,-82,454,0,4
5b24ff2,DR9,2024-07-25 16:06:10,1/2################################################,868.0,-83,452,0,4
2b24ff2,DR9,2024-07-25 16:06:17,302/2###############,868.0,-113,366,0,4
5b24ff2,DR9,2024-07-25 16:06:17,1/2#################################################################################################,868.0,-84,452,0,4
5b24ff2,M0CW137,2024-07-25 16:06:23,1/2#################,868.0,-86,453,0,4
5b24ff2,M0CW137,2024-07-25 16:06:30,1/2################################################,868.0,-85,449,0,4
5b24ff2,DR0,2024-07-25 16:06:35,###########  START OF TEST ,868.3,-77,541,15,20
5b24ff2,DR0,2024-07-25 16:06:39,1/2#################,865.1,-92,534,13,1
5b24ff2,DR0,2024-07-25 16:06:44,1/2################################################,865.1,-99,534,11,1
1b24ff2,DR10,2024-07-25 16:06:45,108/8###############,868.6,-98,-1657,0,6
5b24ff2,DR0,2024-07-25 16:06:47,1/2#################,865.1,-97,534,13,1
5b24ff2,DR0,2024-07-25 16:06:52,1/2################################################,865.1,-100,534,11,1
5b24ff2,DR0,2024-07-25 16:06:55,1/2#################,865.1,-100,535,11,1
5b24ff2,DR0,2024-07-25 16:07:01,1/2################################################,865.1,-93,0,6,1
5b24ff2,DR0,2024-07-25 16:07:04,1/2#################,865.1,-98,538,12,1
2b24ff2,DR1,2024-07-25 16:07:06,93/2################,866.1,-112,449,-9,6
5b24ff2,DR0,2024-07-25 16:07:09,1/2################################################,865.1,-93,0,2,1
5b24ff2,M0CW137,2024-07-25 16:07:16,1/2################################################,868.0,-86,449,0,4
5b24ff2,M0CW137,2024-07-25 16:07:23,1/2#################################################################################################,868.0,-86,452,0,4
5b24ff2,DR9,2024-07-25 16:07:28,1/2#################,868.0,-87,454,0,4
1b24ff2,DR4,2024-07-25 16:07:32,40/8################,865.9,-103,392,15,5
3b24ff2,DR9,2024-07-25 16:07:34,124/8###############,868.0,-128,374,0,4
5b24ff2,DR9,2024-07-25 16:07:35,1/2################################################,868.0,-85,452,0,4
5b24ff2,DR9,2024-07-25 16:07:43,1/2#################################################################################################,868.0,-82,452,0,4
5b24ff2,M0CW137,2024-07-25 16:07:48,1/2#################,868.0,-84,453,0,4
5b24ff2,M0CW137,2024-07-25 16:07:56,1/2################################################,868.0,-85,450,0,4
2b24ff2,DR10,2024-07-25 16:07:58,328/14##############,868.6,-103,-1598,0,6
4b24ff2,DR8,2024-07-25 16:07:58,737/14##############,868.0,-119,391,0,4
5b24ff2,DR8,2024-07-25 16:08:09,1/2#################,868.0,-85,449,0,4
5b24ff2,DR8,2024-07-25 16:08:18,1/2################################################,868.0,-84,448,0,4
1b24ff2,DR6,2024-07-25 16:08:22,123/2###############,866.1,-99,0,-4,8
3b24ff2,DR10,2024-07-25 16:08:25,116/14##############,868.6,-116,-1585,0,6
5b24ff2,M0CW137,2024-07-25 16:08:31,1/2#################,868.0,-83,453,0,4
5b24ff2,M0CW137,2024-07-25 16:08:37,1/2################################################,868.0,-86,449,0,4
5b24ff2,M0CW137,2024-07-25 16:08:44,1/2#################################################################################################,868.0,-84,450,0,4
5b24ff2,DR9,2024-07-25 16:08:50,1/2#################,868.0,-84,453,0,4
5b24ff2,DR9,2024-07-25 16:08:56,1/2################################################,868.0,-83,453,0,4
5b24ff2,DR9,2024-07-25 16:09:04,1/2#################################################################################################,868.0,-84,450,0,4
5b24ff2,M0CW137,2024-07-25 16:09:10,1/2#################,868.0,-83,450,0,4
3b24ff2,DR0,2024-07-25 16:09:14,33/14###############,866.3,-99,0,-17,7
1b24ff2,DR10,2024-07-25 16:09:15,101/14##############,868.6,-93,-1646,0,6
5b24ff2,M0CW137,2024-07-25 16:09:17,1/2################################################,868.0,-87,453,0,4
5b24ff2,DR8,2024-07-25 16:09:30,1/2#################,868.0,-85,449,0,4
5b24ff2,DR8,2024-07-25 16:09:39,1/2################################################,868.0,-84,451,0,4
5b24ff2,DR5/6,2024-07-25 16:09:52,1/2#################,868.6,-87,-1511,0,6
5b24ff2,DR5/6,2024-07-25 16:09:58,1/2################################################,868.6,-88,-1511,0,6
1b24ff2,DR9,2024-07-25 16:10:04,112/14##############,868.0,-97,315,0,4
5b24ff2,DR5/6,2024-07-25 16:10:05,1/2#################################################################################################,868.6,-87,-1508,0,6
5b24ff2,DR11,2024-07-25 16:10:11,1/2#################,868.6,-86,-1507,0,6
5b24ff2,DR11,2024-07-25 16:10:17,1/2################################################,868.6,-84,-1512,0,6
5b24ff2,DR11,2024-07-25 16:10:25,1/2#################################################################################################,868.6,-84,-1499,0,6
2b24ff2,DR9,2024-07-25 16:10:27,303/2###############,868.0,-117,363,0,4
5b24ff2,DR4/8,2024-07-25 16:10:31,1/2#################,868.6,-84,-1506,0,6
5b24ff2,DR4/8,2024-07-25 16:10:38,1/2################################################,868.6,-86,-1511,0,6
5b24ff2,DR10,2024-07-25 16:10:51,1/2#################,868.6,-86,-1507,0,6
1b24ff2,DR10,2024-07-25 16:10:55,111/2###############,868.6,-105,-1646,0,6
5b24ff2,DR10,2024-07-25 16:11:00,1/2################################################,868.6,-88,-1507,0,6
5b24ff2,DR5/6,2024-07-25 16:11:13,1/2#################,868.6,-85,-1507,0,6
2b24ff2,DR0,2024-07-25 16:11:17,93/14###############,865.9,-110,455,3,5
4b24ff2,DR9,2024-07-25 16:11:18,742/8###############,868.0,-126,394,0,4
5b24ff2,DR5/6,2024-07-25 16:11:20,1/2################################################,868.6,-86,-1508,0,6
5b24ff2,DR5/6,2024-07-25 16:11:27,1/2#################################################################################################,868.6,-83,-1510,0,6
