2024-06-21 15:11:29,1/4,866.3,-74
2024-06-21 15:28:10,2/22,866.3,-57
2024-06-21 15:29:00,3/4,866.1,-74
2024-06-21 15:40:41,4/4,865.9,-74
2024-06-21 15:49:01,5/22,865.7,-56
2024-06-21 16:04:02,6/22,866.3,-57
2024-06-21 16:15:43,7/-17,866.3,-96
2024-06-21 16:22:23,8/-17,866.1,-95
2024-06-21 16:23:13,9/-17,866.3,-96
2024-06-21 16:33:14,10/22,865.7,-56
2024-06-21 16:54:55,11/-17,866.1,-95
2024-06-21 16:56:35,12/22,865.7,-56
2024-06-21 17:04:05,13/-17,865.7,-93
2024-06-21 17:19:56,14/22,866.1,-56
2024-06-21 17:20:46,15/-17,865.7,-93
2024-06-21 17:26:37,16/-17,866.1,-96
2024-06-21 17:29:57,17/22,865.9,-57
2024-06-21 17:35:47,18/-17,865.9,-96
2024-06-21 17:37:27,19/22,865.9,-56
2024-06-21 17:59:58,20/4,866.1,-74
2024-06-21 18:00:48,21/22,865.9,-56
2024-06-21 18:04:09,22/4,866.3,-75
2024-06-21 18:09:09,23/-17,866.1,-95
2024-06-21 18:16:39,24/22,866.1,-56
2024-06-21 18:20:49,25/22,866.1,-56
2024-06-21 18:35:50,26/4,866.3,-75
2024-06-21 18:54:11,27/-17,865.9,-95
2024-06-21 19:00:02,28/4,865.7,-74
2024-06-21 19:00:52,29/22,866.1,-56
2024-06-21 19:04:12,30/22,865.9,-56
2024-06-21 19:05:52,31/22,866.1,-56
2024-06-21 19:07:32,32/4,866.1,-74
2024-06-21 19:20:03,33/22,866.3,-56
2024-06-21 19:34:13,34/-17,866.1,-95
2024-06-21 19:39:14,35/22,866.1,-56
2024-06-21 19:42:34,36/22,865.7,-56
2024-06-21 19:48:24,37/22,865.9,-56
2024-06-21 19:55:05,38/4,866.1,-74
2024-06-21 20:05:05,39/4,865.7,-74
2024-06-21 20:10:05,40/22,866.3,-57
2024-06-21 20:17:36,41/-17,866.3,-95
2024-06-21 20:25:56,42/4,865.9,-74
2024-06-21 20:45:07,43/22,865.7,-56
2024-06-21 21:09:18,44/4,865.9,-74
2024-06-21 21:35:10,45/22,866.3,-57
2024-06-21 21:36:00,46/-17,866.1,-95
2024-06-21 21:43:30,47/4,866.3,-75
2024-06-21 21:56:51,48/-17,866.1,-95
2024-06-21 21:58:31,49/-17,865.7,-94
2024-06-21 22:15:12,50/-17,866.3,-95
2024-06-21 22:31:53,51/4,865.7,-74
2024-06-21 22:38:33,52/22,866.3,-57
2024-06-21 22:51:04,53/4,866.1,-74
2024-06-21 22:58:34,54/-17,865.7,-93
2024-06-21 23:01:04,55/22,865.9,-56
2024-06-21 23:03:34,56/-17,865.7,-94
2024-06-21 23:11:55,57/-17,866.3,-94
2024-06-21 23:13:35,58/22,865.7,-56
2024-06-21 23:16:05,59/22,865.7,-56
2024-06-21 23:17:45,60/4,866.1,-74
2024-06-21 23:22:46,61/22,865.9,-56
2024-06-21 23:37:46,62/22,865.9,-56
2024-06-21 23:41:57,63/4,866.3,-74
2024-06-21 23:46:07,64/-17,866.1,-95
2024-06-22 00:04:28,65/-17,866.3,-93
2024-06-22 00:08:38,66/-17,866.1,-95
