DR8,2024-07-24 08:09:45,179,868.0,-131,407,0,4
DR9,2024-07-24 08:09:46,179,868.0,-133,423,0,4
DR8,2024-07-24 08:09:53,180,868.0,-137,417,0,4
DR0,2024-07-24 08:11:29,190,865.9,-117,501,-16,5
DR8,2024-07-24 08:11:33,191,868.0,-135,419,0,4
DR0,2024-07-24 08:11:38,191,865.9,-117,507,-25,5
DR8,2024-07-24 08:11:42,192,868.0,-131,414,0,4
DR0,2024-07-24 08:11:47,192,865.9,-116,503,-17,5
DR8,2024-07-24 08:11:51,193,868.0,-131,414,0,4
DR9,2024-07-24 08:11:53,193,868.0,-133,402,0,4
DR0,2024-07-24 08:11:56,193,865.9,-118,495,-19,5
DR8,2024-07-24 08:12:00,194,868.0,-131,412,0,4
DR8,2024-07-24 08:12:09,195,868.0,-128,406,0,4
DR0,2024-07-24 08:12:14,195,865.9,-116,505,-15,5
DR8,2024-07-24 08:12:18,196,868.0,-127,401,0,4
DR9,2024-07-24 08:12:20,196,868.0,-128,411,0,4
DR8,2024-07-24 08:12:27,197,868.0,-130,411,0,4
DR9,2024-07-24 08:12:29,197,868.0,-131,410,0,4
DR0,2024-07-24 08:12:32,197,865.9,-118,484,-11,5
DR8,2024-07-24 08:12:37,198,868.0,-129,396,0,4
DR9,2024-07-24 08:12:38,198,868.0,-130,410,0,4
DR0,2024-07-24 08:12:41,198,865.9,-116,500,-12,5
DR8,2024-07-24 08:12:45,199,868.0,-134,412,0,4
DR0,2024-07-24 08:12:50,199,865.9,-117,491,-18,5
DR8,2024-07-24 08:12:55,200,868.0,-125,399,0,4
DR0,2024-07-24 08:12:59,200,865.9,-116,498,-10,5
DR8,2024-07-24 08:13:03,201,868.0,-120,408,0,4
DR9,2024-07-24 08:13:06,201,868.0,-123,403,0,4
DR8,2024-07-24 08:13:12,202,868.0,-129,405,0,4
DR9,2024-07-24 08:13:14,202,868.0,-129,405,0,4
DR8,2024-07-24 08:13:22,203,868.0,-136,415,0,4
DR8,2024-07-24 08:13:31,204,868.0,-134,396,0,4
DR8,2024-07-24 08:13:40,205,868.0,-135,407,0,4
DR8,2024-07-24 08:13:57,207,868.0,-136,412,0,4
DR0,2024-07-24 08:14:11,208,865.9,-117,492,-18,5
DR8,2024-07-24 08:14:16,209,868.0,-135,419,0,4
DR9,2024-07-24 08:14:18,209,868.0,-131,413,0,4
DR0,2024-07-24 08:14:20,209,865.9,-116,492,-19,5
DR8,2024-07-24 08:14:25,210,868.0,-133,408,0,4
DR9,2024-07-24 08:14:27,210,868.0,-131,409,0,4
DR8,2024-07-24 08:14:34,211,868.0,-131,408,0,4
DR9,2024-07-24 08:14:36,211,868.0,-130,416,0,4
DR8,2024-07-24 08:14:43,212,868.0,-131,406,0,4
DR9,2024-07-24 08:14:45,212,868.0,-134,414,0,4
DR8,2024-07-24 08:14:52,213,868.0,-132,403,0,4
DR8,2024-07-24 08:15:01,214,868.0,-131,413,0,4
DR8,2024-07-24 08:15:19,216,868.0,-138,389,0,4
DR0,2024-07-24 08:16:18,222,865.9,-115,495,-24,5
DR8,2024-07-24 08:16:31,224,868.0,-133,413,0,4
DR8,2024-07-24 08:16:40,225,868.0,-134,418,0,4
DR8,2024-07-24 08:16:59,227,868.0,-136,405,0,4
DR8,2024-07-24 08:17:08,228,868.0,-133,403,0,4
DR8,2024-07-24 08:17:17,229,868.0,-134,402,0,4
DR8,2024-07-24 08:17:26,230,868.0,-134,418,0,4
DR8,2024-07-24 08:17:35,231,868.0,-136,415,0,4
DR9,2024-07-24 08:17:36,231,868.0,-130,406,0,4
DR8,2024-07-24 08:17:44,232,868.0,-131,398,0,4
DR0,2024-07-24 08:17:48,232,865.9,-116,521,-19,5
DR8,2024-07-24 08:17:53,233,868.0,-124,401,0,4
DR9,2024-07-24 08:17:55,233,868.0,-124,407,0,4
DR8,2024-07-24 08:18:01,234,868.0,-120,401,0,4
DR9,2024-07-24 08:18:04,234,868.0,-127,410,0,4
DR0,2024-07-24 08:18:07,234,865.9,-117,511,-12,5
DR8,2024-07-24 08:18:11,235,868.0,-126,406,0,4
DR9,2024-07-24 08:18:13,235,868.0,-128,405,0,4
DR0,2024-07-24 08:18:16,235,865.9,-116,506,-16,5
DR8,2024-07-24 08:18:20,236,868.0,-128,410,0,4
DR9,2024-07-24 08:18:22,236,868.0,-126,414,0,4
DR0,2024-07-24 08:18:25,236,865.9,-118,484,-15,5
DR8,2024-07-24 08:18:29,237,868.0,-131,421,0,4
DR9,2024-07-24 08:18:31,237,868.0,-132,400,0,4
DR8,2024-07-24 08:18:38,238,868.0,-125,406,0,4
