2b24ff2,DR6,2024-07-04 11:18:59,159/14##############,866.1,-108
4b24ff2,DR3,2024-07-04 11:19:03,79/2################,866.1,-80
3b24ff2,DR4,2024-07-04 11:19:09,9/14################,865.9,-74
2b24ff2,DR9,2024-07-04 11:19:51,148/8###############,868.0,-117
4b24ff2,DR9,2024-07-04 11:19:55,286/8###############,868.0,-70
3b24ff2,DR9,2024-07-04 11:20:01,44/14###############,868.0,-69
2b24ff2,DR10,2024-07-04 11:20:42,138/8###############,868.6,-118
4b24ff2,DR1,2024-07-04 11:20:44,63/14###############,865.9,-68
3b24ff2,DR10,2024-07-04 11:20:52,47/2################,868.6,-81
4b24ff2,DR9,2024-07-04 11:21:35,301/14##############,868.0,-66
3b24ff2,DR11,2024-07-04 11:21:41,44/8################,868.6,-75
4b24ff2,DR4,2024-07-04 11:22:23,68/2################,865.7,-82
3b24ff2,DR9,2024-07-04 11:22:31,42/8################,868.0,-75
4b24ff2,DR2,2024-07-04 11:23:14,89/8################,865.9,-76
3b24ff2,DR8,2024-07-04 11:23:22,45/14###############,868.0,-69
2b24ff2,DR11,2024-07-04 11:24:01,175/14##############,868.6,-112
4b24ff2,DR6,2024-07-04 11:24:03,304/2###############,866.1,-80
3b24ff2,DR5,2024-07-04 11:24:09,14/8################,865.7,-79
2b24ff2,DR1,2024-07-04 11:24:50,39/8################,866.1,-117
4b24ff2,DR5,2024-07-04 11:24:53,76/8################,866.1,-74
3b24ff2,DR9,2024-07-04 11:25:01,45/14###############,868.0,-70
2b24ff2,DR8,2024-07-04 11:25:42,153/14##############,868.0,-112
4b24ff2,DR9,2024-07-04 11:25:45,287/8###############,868.0,-73
3b24ff2,DR11,2024-07-04 11:25:51,56/2################,868.6,-82
2b24ff2,DR11,2024-07-04 11:26:31,167/2###############,868.6,-125
4b24ff2,DR0,2024-07-04 11:26:35,62/2################,866.3,-82
3b24ff2,DR1,2024-07-04 11:26:40,15/2################,866.3,-84
2b24ff2,DR0,2024-07-04 11:27:21,44/8################,866.3,-107
4b24ff2,DR5,2024-07-04 11:27:23,77/2################,865.9,-82
3b24ff2,DR8,2024-07-04 11:27:32,45/8################,868.0,-75
2b24ff2,DR6,2024-07-04 11:28:09,150/8###############,866.1,-112
4b24ff2,DR9,2024-07-04 11:28:15,302/14##############,868.0,-66
3b24ff2,DR8,2024-07-04 11:28:23,35/2################,868.0,-81
4b24ff2,DR11,2024-07-04 11:29:05,323/2###############,868.6,-79
3b24ff2,DR9,2024-07-04 11:29:11,43/8################,868.0,-75
2b24ff2,DR10,2024-07-04 11:29:52,139/8###############,868.6,-117
4b24ff2,DR11,2024-07-04 11:29:56,293/14##############,868.6,-68
3b24ff2,DR0,2024-07-04 11:30:01,11/8################,866.1,-77
2b24ff2,DR9,2024-07-04 11:30:41,147/2###############,868.0,-121
4b24ff2,DR0,2024-07-04 11:30:45,65/14###############,866.1,-70
3b24ff2,DR11,2024-07-04 11:30:52,45/8################,868.6,-77
2b24ff2,DR11,2024-07-04 11:31:31,173/8###############,868.6,-118
4b24ff2,DR0,2024-07-04 11:31:35,63/2################,866.3,-81
3b24ff2,DR10,2024-07-04 11:31:43,48/2################,868.6,-82
2b24ff2,DR6,2024-07-04 11:32:20,160/14##############,866.1,-108
4b24ff2,DR6,2024-07-04 11:32:24,305/2###############,866.1,-77
3b24ff2,DR4,2024-07-04 11:32:30,10/14###############,865.9,-75
2b24ff2,DR0,2024-07-04 11:33:11,44/8################,865.9,-117
4b24ff2,DR9,2024-07-04 11:33:16,288/8###############,868.0,-73
3b24ff2,DR6,2024-07-04 11:33:20,33/8################,866.1,-74
2b24ff2,DR8,2024-07-04 11:34:03,154/14##############,868.0,-113
