DR0,2024-07-26 11:17:37,  START OF TEST /27,868.3,-68,425,15,20,4/5
DR0,2024-07-26 11:32:04,  START OF TEST /27,868.3,-113,414,-11,20,4/5
DR0,2024-07-26 11:32:49,1/2/20,866.1,-116,413,-3,6,4/5
DR0,2024-07-26 11:33:35,1/2/51,866.1,-112,415,-9,6,4/5
DR0,2024-07-26 11:34:20,1/2/20,866.1,-116,416,-4,6,4/6
DR0,2024-07-26 11:35:06,1/2/51,866.1,-113,418,-10,6,4/6
DR0,2024-07-26 11:35:50,1/2/20,866.1,-116,419,-3,6,4/7
DR0,2024-07-26 11:36:36,1/2/51,866.1,-111,420,-11,6,4/7
DR0,2024-07-26 11:37:20,1/2/20,866.1,-116,421,-5,6,4/8
DR0,2024-07-26 11:38:07,1/2/51,866.1,-118,0,-6,6,4/8
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:38:49,1/2/20,868.0,-119,331,0,4,5/6
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:39:35,1/2/51,868.0,-120,332,0,4,5/6
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:40:21,1/2/100,868.0,-121,337,0,4,5/6
DR9,2024-07-26 11:41:05,1/2/20,868.0,-122,339,0,4,4/6
DR9,2024-07-26 11:41:50,1/2/51,868.0,-119,339,0,4,4/6
DR9,2024-07-26 11:42:37,1/2/100,868.0,-120,337,0,4,4/6
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:43:20,1/2/20,868.0,-120,340,0,4,4/8
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:44:06,1/2/51,868.0,-122,337,0,4,4/8
DR8,2024-07-26 11:45:36,1/2/20,868.0,-122,338,0,4,1/3
DR8,2024-07-26 11:46:23,1/2/51,868.0,-121,336,0,4,1/3
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:47:49,1/2/20,868.0,-120,343,0,4,5/6
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:48:35,1/2/51,868.0,-121,340,0,4,5/6
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:49:21,1/2/100,868.0,-120,345,0,4,5/6
DR9,2024-07-26 11:50:04,1/2/20,868.0,-129,343,0,4,4/6
DR9,2024-07-26 11:50:51,1/2/51,868.0,-124,346,0,4,4/6
DR9,2024-07-26 11:51:37,1/2/100,868.0,-124,341,0,4,4/6
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:52:20,1/2/20,868.0,-125,342,0,4,4/8
UNKNOWN CODING RATE ON M0CW137,2024-07-26 11:53:07,1/2/51,868.0,-123,347,0,4,4/8
DR8,2024-07-26 11:54:36,1/2/20,868.0,-123,342,0,4,1/3
DR8,2024-07-26 11:55:23,1/2/51,868.0,-124,344,0,4,1/3
UNKNOWN CODING RATE M0CW336,2024-07-26 11:56:50,1/2/20,868.6,-125,-1614,0,6,5/6
UNKNOWN CODING RATE M0CW336,2024-07-26 11:57:35,1/2/51,868.6,-129,-1614,0,6,5/6
DR11,2024-07-26 11:59:05,1/2/20,868.6,-127,-1609,0,6,4/6
DR11,2024-07-26 11:59:51,1/2/51,868.6,-127,-1608,0,6,4/6
UNKNOWN CODING RATE M0CW336,2024-07-26 12:02:07,1/2/51,868.6,-126,-1616,0,6,4/8
DR10,2024-07-26 12:03:36,1/2/20,868.6,-126,-1612,0,6,1/3
DR10,2024-07-26 12:04:23,1/2/51,868.6,-126,-1590,0,6,1/3
