DR4,2024-07-15 15:21:51,1/2,865.9,-83,481,15,5
DR9,2024-07-15 15:22:43,1/8,868.0,-74,403,0,4
DR2,2024-07-15 15:23:31,1/14,865.9,-73,486,15,5
DR3,2024-07-15 15:24:21,2/14,866.3,-74,483,15,7
DR8,2024-07-15 15:25:14,6/8,868.0,-77,403,0,4
DR6,2024-07-15 15:26:01,2/14,866.1,-69,0,10,8
DR0,2024-07-15 15:26:53,1/8,866.3,-79,493,15,7
DR0,2024-07-15 15:27:43,1/2,866.3,-85,493,14,7
DR5,2024-07-15 15:28:31,2/8,866.3,-78,480,15,7
DR0,2024-07-15 15:29:23,2/8,866.3,-81,493,15,7
DR9,2024-07-15 15:30:13,4/2,868.0,-83,407,0,4
DR8,2024-07-15 15:31:04,7/8,868.0,-79,403,0,4
DR8,2024-07-15 15:31:54,8/8,868.0,-77,404,0,4
DR1,2024-07-15 15:32:42,3/14,865.9,-73,489,15,5
DR11,2024-07-15 15:33:33,2/2,868.6,-85,-1558,0,6
DR1,2024-07-15 15:35:13,1/14,865.7,-66,488,-6,4
DR8,2024-07-15 15:36:05,5/2,868.0,-84,405,0,4
DR9,2024-07-15 15:36:54,1/14,868.0,-72,407,0,4
DR10,2024-07-15 15:37:45,3/8,868.6,-79,-1546,0,6
DR5,2024-07-15 15:38:32,3/8,866.1,-86,476,15,6
DR11,2024-07-15 15:40:14,3/14,868.6,-75,-1554,0,6
DR4,2024-07-15 15:41:02,2/8,865.9,-81,481,15,5
DR6,2024-07-15 15:41:52,3/14,866.1,-69,0,10,8
DR0,2024-07-15 15:43:34,3/14,866.1,-74,490,15,6
DR5,2024-07-15 15:44:22,2/14,866.1,-73,476,15,6
DR1,2024-07-15 15:45:13,2/14,866.3,-73,487,15,7
DR9,2024-07-15 15:46:04,5/2,868.0,-84,405,0,4
DR10,2024-07-15 15:46:55,2/2,868.6,-82,-1559,0,6
DR11,2024-07-15 15:47:44,4/14,868.6,-73,-1555,0,6
DR2,2024-07-15 15:48:33,2/14,866.3,-73,483,15,7
DR4,2024-07-15 15:49:22,2/14,866.3,-72,479,15,7
DR8,2024-07-15 15:50:15,4/14,868.0,-71,405,0,4
DR0,2024-07-15 15:51:04,1/2,866.1,-85,490,15,6
DR8,2024-07-15 15:51:55,9/8,868.0,-75,405,0,4
DR1,2024-07-15 15:52:43,3/14,866.1,-72,486,15,6
DR3,2024-07-15 15:53:33,2/8,865.9,-76,481,15,5
DR2,2024-07-15 15:54:23,1/14,865.7,-71,483,15,4
DR8,2024-07-15 15:55:16,5/14,868.0,-69,405,0,4
DR2,2024-07-15 15:56:03,2/8,865.7,-77,483,15,4
DR0,2024-07-15 15:56:55,2/2,866.1,-84,489,15,6
DR8,2024-07-15 15:57:46,10/8,868.0,-78,404,0,4
DR11,2024-07-15 15:58:35,2/8,868.6,-78,-1561,0,6
DR11,2024-07-15 15:59:25,3/8,868.6,-79,-1551,0,6
DR1,2024-07-15 16:00:14,3/14,866.3,-66,486,-7,7
DR1,2024-07-15 16:01:04,4/14,866.1,-72,485,15,6
DR11,2024-07-15 16:01:55,5/14,868.6,-73,-1548,0,6
DR6,2024-07-15 16:02:43,4/14,866.1,-69,0,10,8
DR8,2024-07-15 16:03:36,6/14,868.0,-71,404,0,4
DR0,2024-07-15 16:04:25,2/2,866.3,-67,490,-17,7
DR9,2024-07-15 16:05:15,2/14,868.0,-71,400,0,4
DR11,2024-07-15 16:06:05,3/2,868.6,-83,-1551,0,6
DR5,2024-07-15 16:06:53,3/8,866.3,-75,475,15,7
DR2,2024-07-15 16:07:44,3/14,866.3,-62,482,-10,7
DR2,2024-07-15 16:08:34,1/8,866.3,-62,482,-16,7
DR11,2024-07-15 16:09:26,6/14,868.6,-71,-1574,0,6
DR1,2024-07-15 16:10:14,3/2,866.3,-65,485,-19,7
DR4,2024-07-15 16:11:04,2/2,865.9,-83,478,15,5
DR2,2024-07-15 16:11:54,2/14,866.1,-71,481,15,6
DR11,2024-07-15 16:12:45,4/8,868.6,-77,-1562,0,6
DR9,2024-07-15 16:13:35,3/14,868.0,-71,404,0,4
DR6,2024-07-15 16:14:24,3/8,866.1,-71,0,10,8
DR8,2024-07-15 16:16:07,6/2,868.0,-82,398,0,4
DR3,2024-07-15 16:16:54,3/14,866.3,-71,479,15,7
DR10,2024-07-15 16:17:47,6/14,868.6,-73,-1560,0,6
DR6,2024-07-15 16:18:34,4/8,866.1,-73,0,11,8
DR8,2024-07-15 16:19:27,11/8,868.0,-75,398,0,4
DR6,2024-07-15 16:21:04,5/8,866.1,-74,0,9,8
DR2,2024-07-15 16:21:54,1/2,866.1,-84,481,15,6
DR6,2024-07-15 16:22:44,5/14,866.1,-69,0,9,8
DR10,2024-07-15 16:23:37,3/2,868.6,-83,-1563,0,6
DR11,2024-07-15 16:24:26,5/8,868.6,-77,-1554,0,6
DR5,2024-07-15 16:25:14,4/8,866.3,-78,476,15,7
DR10,2024-07-15 16:26:07,7/14,868.6,-72,-1560,0,6
DR4,2024-07-15 16:26:54,3/8,865.9,-75,477,15,5
DR6,2024-07-15 16:27:44,3/2,866.1,-79,0,11,8
DR9,2024-07-15 16:28:36,6/2,868.0,-84,399,0,4
DR2,2024-07-15 16:29:25,3/2,866.3,-86,480,15,7
DR4,2024-07-15 16:30:14,4/8,865.9,-79,477,15,5
DR2,2024-07-15 16:31:05,1/8,866.1,-79,480,15,6
DR11,2024-07-15 16:31:56,4/2,868.6,-87,-1562,0,6
DR2,2024-07-15 16:32:45,2/2,865.9,-90,482,15,5
DR9,2024-07-15 16:33:37,2/8,868.0,-82,399,0,4
DR4,2024-07-15 16:34:25,5/8,865.9,-81,478,15,5
DR6,2024-07-15 16:35:15,6/8,866.1,-79,0,8,8
DR1,2024-07-15 16:36:06,5/14,866.1,-77,484,15,6
DR3,2024-07-15 16:36:55,1/14,866.1,-76,478,15,6
DR6,2024-07-15 16:37:45,7/8,866.1,-77,0,10,8
DR9,2024-07-15 16:38:37,7/2,868.0,-86,398,0,4
DR0,2024-07-15 16:39:27,1/8,865.7,-66,489,-14,4
DR6,2024-07-15 16:40:15,6/14,866.1,-70,0,10,8
DR0,2024-07-15 16:41:07,4/14,865.7,-70,488,-5,4
DR0,2024-07-15 16:42:47,1/8,865.9,-77,489,15,5
DR11,2024-07-15 16:43:37,7/14,868.6,-78,-1553,0,6
DR1,2024-07-15 16:44:26,2/8,866.1,-79,484,15,6
DR8,2024-07-15 16:45:18,7/2,868.0,-84,400,0,4
DR10,2024-07-15 16:46:08,8/14,868.6,-79,-1559,0,6
DR2,2024-07-15 16:46:56,3/14,866.1,-77,480,15,6
DR0,2024-07-15 16:47:47,2/8,865.7,-71,488,-8,4
DR6,2024-07-15 16:48:35,7/14,866.1,-70,0,10,8
DR4,2024-07-15 16:49:26,3/14,866.3,-75,476,15,7
DR9,2024-07-15 16:50:17,3/8,868.0,-78,399,0,4
DR1,2024-07-15 16:51:06,1/8,865.9,-79,485,15,5
DR0,2024-07-15 16:51:57,2/14,865.9,-74,488,15,5
DR6,2024-07-15 16:52:46,8/14,866.1,-70,0,10,8
DR9,2024-07-15 16:53:37,4/8,868.0,-77,399,0,4
DR8,2024-07-15 16:54:28,12/8,868.0,-74,399,0,4
DR5,2024-07-15 16:55:16,1/2,865.9,-87,475,15,5
DR9,2024-07-15 16:56:08,4/14,868.0,-71,401,0,4
DR11,2024-07-15 16:56:58,6/8,868.6,-79,-1559,0,6
DR4,2024-07-15 16:57:46,2/14,866.1,-77,475,15,6
DR5,2024-07-15 16:58:36,4/8,866.1,-87,475,15,6
DR5,2024-07-15 16:59:26,3/14,866.1,-78,474,15,6
DR6,2024-07-15 17:01:06,8/8,866.1,-83,0,9,8
DR5,2024-07-15 17:02:46,2/2,865.9,-91,475,14,5
DR4,2024-07-15 17:03:36,1/2,866.1,-105,476,11,6
DR0,2024-07-15 17:04:28,3/8,865.7,-69,488,-11,4
DR11,2024-07-15 17:05:18,5/2,868.6,-89,-1561,0,6
DR8,2024-07-15 17:06:09,8/2,868.0,-87,402,0,4
DR5,2024-07-15 17:06:56,3/2,865.9,-89,475,15,5
DR2,2024-07-15 17:07:47,2/14,865.7,-80,481,15,4
DR1,2024-07-15 17:08:37,3/8,866.1,-93,483,15,6
DR0,2024-07-15 17:09:28,4/14,866.1,-81,487,15,6
DR6,2024-07-15 17:10:16,9/8,866.1,-86,0,9,8
DR0,2024-07-15 17:11:08,2/8,865.9,-84,489,15,5
DR10,2024-07-15 17:12:49,4/2,868.6,-94,-1558,0,6
DR8,2024-07-15 17:13:40,7/14,868.0,-82,403,0,4
DR11,2024-07-15 17:15:19,8/14,868.6,-78,-1555,0,6
DR5,2024-07-15 17:16:07,2/14,865.9,-82,477,15,5
DR4,2024-07-15 17:16:57,6/8,865.9,-85,477,15,5
DR10,2024-07-15 17:17:50,5/2,868.6,-90,-1550,0,6
DR4,2024-07-15 17:18:37,3/2,865.9,-90,478,15,5
DR8,2024-07-15 17:19:30,9/2,868.0,-89,403,0,4
DR11,2024-07-15 17:20:19,6/2,868.6,-88,-1562,0,6
DR4,2024-07-15 17:21:07,1/14,865.7,-77,478,15,4
DR10,2024-07-15 17:22:00,4/8,868.6,-83,-1553,0,6
DR4,2024-07-15 17:22:47,1/2,865.7,-87,478,10,4
DR6,2024-07-15 17:23:37,10/8,866.1,-79,0,10,8
DR11,2024-07-15 17:24:29,7/8,868.6,-82,-1562,0,6
DR5,2024-07-15 17:25:17,1/8,865.9,-83,478,15,5
DR3,2024-07-15 17:27:48,1/8,866.3,-86,481,15,7
DR10,2024-07-15 17:28:40,6/2,868.6,-88,-1556,0,6
DR2,2024-07-15 17:29:28,2/14,865.9,-80,485,15,5
DR4,2024-07-15 17:30:18,2/14,865.7,-77,480,15,4
DR0,2024-07-15 17:31:09,4/8,865.7,-82,492,11,4
DR5,2024-07-15 17:31:58,2/8,865.9,-83,479,15,5
DR4,2024-07-15 17:32:48,2/14,865.9,-80,481,15,5
DR10,2024-07-15 17:33:41,5/8,868.6,-84,-1557,0,6
DR10,2024-07-15 17:34:30,7/2,868.6,-93,-1553,0,6
DR0,2024-07-15 17:35:20,3/8,865.9,-88,494,15,5
DR8,2024-07-15 17:36:11,13/8,868.0,-84,408,0,4
DR0,2024-07-15 17:37:00,5/14,866.1,-82,493,15,6
DR2,2024-07-15 17:37:48,3/14,865.9,-81,487,15,5
DR5,2024-07-15 17:38:38,2/14,865.7,-77,480,15,4
DR0,2024-07-15 17:39:30,1/2,865.7,-68,495,-21,4
DR4,2024-07-15 17:40:18,3/14,866.1,-84,483,15,6
DR10,2024-07-15 17:41:11,9/14,868.6,-82,-1554,0,6
DR6,2024-07-15 17:41:58,9/14,866.1,-83,0,9,8
DR4,2024-07-15 17:43:38,4/14,866.1,-84,484,15,6
DR9,2024-07-15 17:44:30,5/14,868.0,-82,411,0,4
DR2,2024-07-15 17:45:19,2/8,866.1,-88,488,15,6
DR6,2024-07-15 17:46:08,11/8,866.1,-86,0,10,8
DR1,2024-07-15 17:46:59,2/8,865.9,-87,493,15,5
DR11,2024-07-15 17:47:51,9/14,868.6,-83,-1543,0,6
DR10,2024-07-15 17:49:32,8/2,868.6,-89,-1547,0,6
DR9,2024-07-15 17:50:20,5/8,868.0,-85,413,0,4
DR11,2024-07-15 17:52:01,7/2,868.6,-92,-1552,0,6
DR5,2024-07-15 17:53:39,3/14,865.7,-78,487,15,4
DR10,2024-07-15 17:54:32,9/2,868.6,-93,-1550,0,6
DR3,2024-07-15 17:55:19,1/2,865.7,-88,490,10,4
DR9,2024-07-15 17:56:11,6/8,868.0,-84,412,0,4
DR3,2024-07-15 17:56:59,2/2,865.7,-88,490,9,4
DR5,2024-07-15 17:57:49,4/14,865.7,-77,485,15,4
DR6,2024-07-15 17:58:39,4/2,866.1,-88,0,10,8
DR1,2024-07-15 17:59:30,3/2,865.9,-89,496,15,5
DR2,2024-07-15 18:00:19,2/2,866.1,-90,491,15,6
DR9,2024-07-15 18:01:11,6/14,868.0,-78,414,0,4
DR4,2024-07-15 18:01:59,3/14,865.9,-78,488,15,5
DR10,2024-07-15 18:03:42,6/8,868.6,-84,-1548,0,6
DR5,2024-07-15 18:04:29,5/8,866.3,-84,485,15,7
DR11,2024-07-15 18:05:21,8/8,868.6,-85,-1551,0,6
DR10,2024-07-15 18:06:12,10/14,868.6,-81,-1548,0,6
DR9,2024-07-15 18:07:01,8/2,868.0,-91,409,0,4
DR11,2024-07-15 18:07:51,10/14,868.6,-82,-1553,0,6
DR9,2024-07-15 18:08:41,7/8,868.0,-83,409,0,4
DR2,2024-07-15 18:11:10,3/14,865.7,-77,488,15,4
DR8,2024-07-15 18:12:52,10/2,868.0,-90,409,0,4
DR0,2024-07-15 18:13:42,2/2,865.9,-89,496,15,5
DR5,2024-07-15 18:14:30,3/8,865.9,-83,482,15,5
DR1,2024-07-15 18:15:21,6/14,866.1,-79,490,15,6
DR4,2024-07-15 18:16:10,4/2,865.9,-90,483,15,5
DR3,2024-07-15 18:17:00,2/8,866.1,-84,484,15,6
DR0,2024-07-15 18:17:52,1/14,866.3,-67,494,-13,7
DR5,2024-07-15 18:19:30,1/2,865.7,-87,480,9,4
DR6,2024-07-15 18:20:20,12/8,866.1,-81,0,10,8
DR11,2024-07-15 18:21:12,8/2,868.6,-91,-1558,0,6
DR10,2024-07-15 18:22:03,11/14,868.6,-81,-1559,0,6
DR6,2024-07-15 18:22:50,13/8,866.1,-81,0,10,8
DR8,2024-07-15 18:23:43,8/14,868.0,-79,402,0,4
DR8,2024-07-15 18:24:33,14/8,868.0,-84,406,0,4
DR9,2024-07-15 18:25:22,9/2,868.0,-90,403,0,4
DR5,2024-07-15 18:26:10,6/14,865.7,-76,477,15,4
DR6,2024-07-15 18:27:00,5/2,866.1,-87,0,10,8
DR5,2024-07-15 18:27:50,4/14,866.1,-79,477,15,6
DR1,2024-07-15 18:28:41,2/14,865.7,-76,486,15,4
DR1,2024-07-15 18:29:32,4/14,865.9,-78,487,15,5
DR4,2024-07-15 18:30:21,5/2,865.9,-89,479,15,5
DR9,2024-07-15 18:31:12,8/8,868.0,-83,405,0,4
DR8,2024-07-15 18:32:04,9/14,868.0,-78,400,0,4
DR0,2024-07-15 18:32:53,3/8,866.3,-84,489,15,7
DR11,2024-07-15 18:33:43,9/2,868.6,-91,-1562,0,6
DR2,2024-07-15 18:34:31,4/14,865.9,-78,482,15,5
DR6,2024-07-15 18:35:21,6/2,866.1,-87,0,10,8
DR9,2024-07-15 18:36:13,7/14,868.0,-79,403,0,4
DR6,2024-07-15 18:37:01,14/8,866.1,-81,0,10,8
DR3,2024-07-15 18:37:51,3/8,865.9,-83,478,15,5
DR6,2024-07-15 18:38:41,7/2,866.1,-88,0,9,8
DR10,2024-07-15 18:39:34,12/14,868.6,-81,-1560,0,6
DR10,2024-07-15 18:40:24,10/2,868.6,-92,-1560,0,6
DR11,2024-07-15 18:41:13,10/2,868.6,-92,-1563,0,6
DR0,2024-07-15 18:42:03,4/2,865.7,-66,487,-22,4
DR10,2024-07-15 18:42:54,13/14,868.6,-81,-1563,0,6
DR6,2024-07-15 18:44:31,10/14,866.1,-75,0,10,8
DR10,2024-07-15 18:45:24,11/2,868.6,-92,-1561,0,6
DR11,2024-07-15 18:46:13,11/14,868.6,-82,-1561,0,6
DR4,2024-07-15 18:47:02,3/14,865.7,-76,474,15,4
DR9,2024-07-15 18:47:53,8/14,868.0,-79,401,0,4
DR10,2024-07-15 18:48:44,14/14,868.6,-82,-1565,0,6
DR6,2024-07-15 18:49:32,11/14,866.1,-75,0,10,8
DR10,2024-07-15 18:50:24,12/2,868.6,-91,-1565,0,6
DR6,2024-07-15 18:52:02,8/2,866.1,-87,0,9,8
DR6,2024-07-15 18:52:52,15/8,866.1,-79,0,10,8
DR4,2024-07-15 18:53:42,5/14,866.1,-78,473,15,6
DR1,2024-07-15 18:54:33,7/14,866.1,-78,480,15,6
DR6,2024-07-15 18:55:22,9/2,866.1,-87,0,10,8
DR2,2024-07-15 18:56:12,3/2,866.1,-89,477,7,6
DR11,2024-07-15 18:57:04,12/14,868.6,-82,-1556,0,6
DR6,2024-07-15 18:57:52,12/14,866.1,-73,0,10,8
DR4,2024-07-15 18:58:42,7/8,865.9,-82,474,15,5
DR3,2024-07-15 18:59:32,3/8,866.1,-83,474,15,6
DR5,2024-07-15 19:00:22,7/14,865.7,-76,470,15,4
DR6,2024-07-15 19:01:12,13/14,866.1,-76,0,10,8
DR3,2024-07-15 19:02:02,5/2,865.7,-87,474,10,4
DR5,2024-07-15 19:02:52,4/8,865.9,-82,470,15,5
DR0,2024-07-15 19:03:44,4/8,866.1,-83,483,15,6
DR11,2024-07-15 19:04:34,9/8,868.6,-85,-1567,0,6
DR1,2024-07-15 19:05:23,1/2,866.1,-90,479,15,6
DR1,2024-07-15 19:07:03,4/8,866.1,-83,478,15,6
DR2,2024-07-15 19:07:53,5/2,866.3,-90,476,15,7
DR4,2024-07-15 19:08:43,8/8,865.9,-82,473,15,5
DR10,2024-07-15 19:09:35,13/2,868.6,-90,-1566,0,6
DR3,2024-07-15 19:10:23,4/8,866.1,-83,473,15,6
DR4,2024-07-15 19:11:13,3/2,865.7,-87,472,11,4
DR10,2024-07-15 19:12:06,7/8,868.6,-85,-1563,0,6
DR1,2024-07-15 19:12:54,3/8,865.9,-82,479,15,5
DR5,2024-07-15 19:13:43,5/8,865.9,-82,470,15,5
DR6,2024-07-15 19:14:33,10/2,866.1,-85,0,9,8
DR9,2024-07-15 19:16:15,10/2,868.0,-89,395,0,4
DR11,2024-07-15 19:17:55,13/14,868.6,-79,-1556,0,6
DR9,2024-07-15 19:18:45,9/14,868.0,-78,393,0,4
DR6,2024-07-15 19:19:33,11/2,866.1,-86,0,10,8
DR9,2024-07-15 19:21:15,11/2,868.0,-89,395,0,4
DR9,2024-07-15 19:22:55,9/8,868.0,-83,392,0,4
DR2,2024-07-15 19:23:44,4/14,866.1,-78,474,15,6
DR0,2024-07-15 19:25:25,6/14,866.1,-79,481,15,6
DR4,2024-07-15 19:26:14,4/8,865.7,-81,470,15,4
