date;V_nicr;temperature;pressure;V_pile_intel;V_alim_nicr;V_5v;I_nicr;vitesse;COG;vitesse_verticale;etat;latitude;longitude;altitude;nb_sat;heure_GPS
2024-05-24T07:11:56;0.000;20.05;1009.36;3.367;0.000;2.015;0.000;0.000;356.53;0.0;i;43.70653;-0.25132;95.6;4;07:14:18
2024-05-24T07:11:58;0.000;20.06;1009.34;3.371;0.000;2.015;0.000;0.000;356.53;0.2;i;43.70654;-0.25131;95.8;4;07:14:20
2024-05-24T07:11:58;0.000;20.07;1009.36;3.371;0.000;2.015;0.000;0.000;356.53;0.2;i;43.70654;-0.25131;95.8;4;07:14:21
2024-05-24T07:11:59;0.000;20.08;1009.35;3.371;0.000;2.015;0.000;0.000;356.53;0.2;i;43.70654;-0.25131;95.8;4;07:14:21
2024-05-24T07:12:01;0.000;20.09;1009.37;3.329;0.000;2.010;0.000;0.000;356.53;0.2;i;43.70654;-0.25131;95.8;4;07:14:23
2024-05-24T07:12:01;0.000;20.09;1009.35;3.300;0.000;2.010;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:24
2024-05-24T07:12:02;0.000;20.10;1009.37;3.287;0.000;2.007;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:25
2024-05-24T07:12:04;0.000;20.11;1009.35;3.321;0.000;2.013;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:26
2024-05-24T07:12:04;0.000;20.12;1009.34;3.333;0.000;2.013;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:27
2024-05-24T07:12:06;0.000;20.13;1009.34;3.350;0.000;2.017;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:28
2024-05-24T07:12:07;0.000;20.14;1009.35;3.358;0.000;2.015;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:29
2024-05-24T07:12:07;0.000;20.14;1009.35;3.362;0.000;2.017;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:30
2024-05-24T07:12:09;0.000;20.15;1009.35;3.317;0.000;2.010;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:31
2024-05-24T07:12:09;0.000;20.16;1009.35;3.296;0.000;2.013;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:32
2024-05-24T07:12:11;0.000;20.17;1009.35;3.283;0.000;2.010;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:33
2024-05-24T07:12:11;0.000;20.18;1009.36;3.287;0.000;2.015;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:34
2024-05-24T07:12:13;0.000;20.19;1009.36;3.321;0.000;2.015;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:35
2024-05-24T07:12:14;0.000;20.20;1009.35;3.350;0.000;2.017;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:36
2024-05-24T07:12:14;0.000;20.21;1009.36;3.358;0.000;2.017;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:37
2024-05-24T07:12:16;0.000;20.21;1009.35;3.358;0.000;2.015;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:38
2024-05-24T07:12:17;0.000;20.22;1009.34;3.362;0.000;2.020;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:39
2024-05-24T07:12:17;0.000;20.23;1009.36;3.329;0.000;2.013;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:40
2024-05-24T07:12:19;0.000;20.24;1009.37;3.304;0.000;2.013;0.000;0.000;356.53;0.0;i;43.70654;-0.25131;95.8;4;07:14:41
2024-05-24T07:12:20;0.000;20.25;1009.34;3.287;0.000;2.010;0.000;0.417;179.15;-19.9;i;43.70635;-0.25132;75.9;4;07:14:42
2024-05-24T07:12:20;0.000;20.26;1009.36;3.317;0.000;2.015;0.000;0.417;186.59;-20.9;i;43.70634;-0.25132;74.9;4;07:14:43
2024-05-24T07:12:22;0.000;20.27;1009.34;3.325;0.000;2.015;0.000;0.422;184.16;-21.6;i;43.70633;-0.25132;74.2;4;07:14:44
2024-05-24T07:12:23;0.000;20.28;1009.35;3.346;0.000;2.017;0.000;0.432;179.91;-21.9;i;43.70633;-0.25131;73.9;4;07:14:45
2024-05-24T07:12:24;0.000;20.28;1009.35;3.354;0.000;2.017;0.000;0.437;188.97;-2.1;i;43.70633;-0.25131;73.8;4;07:14:46
2024-05-24T07:12:25;0.000;20.30;1009.38;3.358;0.000;2.017;0.000;0.000;188.28;-0.7;i;43.70634;-0.25131;74.2;4;07:14:47
2024-05-24T07:12:26;0.000;20.30;1009.36;3.329;0.000;2.013;0.000;0.000;190.52;0.2;i;43.70634;-0.25131;74.4;4;07:14:48
2024-05-24T07:12:27;0.000;20.32;1009.35;3.300;0.000;2.010;0.000;0.000;188.42;0.4;i;43.70634;-0.25131;74.3;4;07:14:49
2024-05-24T07:12:28;0.000;20.32;1009.36;3.283;0.000;2.013;0.000;0.000;188.42;0.5;i;43.70634;-0.25131;74.3;4;07:14:50
2024-05-24T07:12:29;0.000;20.33;1009.34;3.304;0.000;2.013;0.000;0.000;188.42;0.1;i;43.70634;-0.25131;74.3;4;07:14:51
2024-05-24T07:12:30;0.000;20.34;1009.35;3.313;0.000;2.013;0.000;0.000;188.42;-0.1;i;43.70634;-0.25131;74.3;4;07:14:52
2024-05-24T07:12:31;0.000;20.35;1009.37;3.342;0.000;2.017;0.000;0.000;188.42;0.0;i;43.70634;-0.25131;74.3;4;07:14:53
2024-05-24T07:12:32;0.000;20.36;1009.36;3.350;0.000;2.017;0.000;0.000;188.42;0.0;i;43.70634;-0.25131;74.3;4;07:14:54
2024-05-24T07:12:33;0.000;20.37;1009.33;3.354;0.000;2.017;0.000;0.000;188.42;0.0;i;43.70634;-0.25131;74.3;4;07:14:55
2024-05-24T07:12:34;0.000;20.38;1009.35;3.358;0.000;2.015;0.000;0.000;188.42;0.0;i;43.70634;-0.25131;74.3;4;07:14:56
2024-05-24T07:12:35;0.000;20.39;1009.36;3.362;0.000;2.017;0.000;0.000;188.42;0.0;i;43.70634;-0.25131;74.3;4;07:14:57
2024-05-24T07:12:36;0.000;20.40;1009.35;3.367;0.000;2.017;0.000;0.000;188.42;0.0;i;43.70634;-0.25131;74.3;4;07:14:58
