2024-09-03 03:56:00,177/8/51,866.1,-116,456,-9,6,4/6,12
2024-09-03 03:56:49,177/8/20,866.1,-116,456,-10,6,4/7,12
2024-09-03 03:57:41,177/8/51,866.1,-113,456,-13,6,4/7,12
2024-09-03 03:58:29,177/8/20,866.1,-116,456,-8,6,4/8,12
2024-09-03 03:59:21,177/8/51,866.1,-117,0,-6,6,4/8,12
2024-09-03 04:33:29,177/8/20,865.9,-116,452,-20,5,4/5,12
2024-09-03 04:35:10,177/8/20,865.9,-117,452,-23,5,4/6,12
2024-09-03 04:36:01,177/8/51,865.9,-116,451,-22,5,4/6,12
2024-09-03 04:36:50,177/8/20,865.9,-116,451,-22,5,4/7,12
2024-09-03 04:39:22,177/8/51,865.9,-117,451,-24,5,4/8,12
2024-09-03 06:34:23,178/8/51,866.1,-117,454,-10,6,4/5,12
2024-09-03 06:35:12,178/8/20,866.1,-111,453,-17,6,4/6,12
2024-09-03 06:36:03,178/8/51,866.1,-113,453,-14,6,4/6,12
2024-09-03 06:36:52,178/8/20,866.1,-107,453,-19,6,4/7,12
2024-09-03 06:39:24,178/8/51,866.1,-117,0,-6,6,4/8,12
2024-09-03 07:13:32,178/8/20,865.9,-115,453,-20,5,4/5,12
2024-09-03 07:14:24,178/8/51,865.9,-116,453,-20,5,4/5,12
2024-09-03 07:15:13,178/8/20,865.9,-117,453,-18,5,4/6,12
2024-09-03 07:16:53,178/8/20,865.9,-116,453,-16,5,4/7,12
2024-09-03 07:17:44,178/8/51,865.9,-117,453,-20,5,4/7,12
2024-09-03 07:18:33,178/8/20,865.9,-117,453,-19,5,4/8,12
2024-09-03 07:19:25,178/8/51,865.9,-117,453,-19,5,4/8,12
2024-09-03 09:13:35,179/8/20,866.1,-118,444,-12,6,4/5,12
2024-09-03 09:14:26,179/8/51,866.1,-114,445,-19,6,4/5,12
2024-09-03 09:15:15,179/8/20,866.1,-117,445,-14,6,4/6,12
2024-09-03 09:16:06,179/8/51,866.1,-118,444,-14,6,4/6,12
2024-09-03 09:16:55,179/8/20,866.1,-118,444,-16,6,4/7,12
2024-09-03 09:18:36,179/8/20,866.1,-117,444,-13,6,4/8,12
2024-09-03 09:19:27,179/8/51,866.1,-116,444,-15,6,4/8,12
2024-09-03 09:53:36,179/8/20,865.9,-117,442,-17,5,4/5,12
2024-09-03 09:54:27,179/8/51,865.9,-117,442,-20,5,4/5,12
2024-09-03 09:55:16,179/8/20,865.9,-117,442,-20,5,4/6,12
2024-09-03 09:56:07,179/8/51,865.9,-116,442,-20,5,4/6,12
2024-09-03 09:56:56,179/8/20,865.9,-113,442,-22,5,4/7,12
2024-09-03 09:57:47,179/8/51,865.9,-118,441,-18,5,4/7,12
2024-09-03 09:58:36,179/8/20,865.9,-114,442,-22,5,4/8,12
2024-09-03 09:59:28,179/8/51,865.9,-118,0,-14,5,4/8,12
