2024-06-26 10:26:34,7/14,865.7,-77
2024-06-26 10:28:15,10/2,865.9,-89
2024-06-26 10:56:36,12/8,866.3,-79
2024-06-26 11:05:46,9/8,866.1,-80
2024-06-26 11:06:36,11/2,865.9,-84
2024-06-26 11:11:37,14/2,866.3,-88
2024-06-26 11:13:17,13/8,866.3,-83
2024-06-26 11:20:47,8/14,865.7,-75
2024-06-26 11:38:18,8/2,865.7,-87
2024-06-26 11:44:08,12/2,865.9,-92
2024-06-26 11:52:29,9/2,865.7,-94
2024-06-26 11:59:09,15/2,866.3,-89
2024-06-26 12:05:49,7/14,866.1,-81
2024-06-26 12:15:50,8/14,865.9,-78
2024-06-26 12:19:10,16/8,865.9,-83
2024-06-26 12:48:22,10/8,866.1,-81
2024-06-26 13:30:04,11/2,866.1,-89
2024-06-26 13:45:05,8/14,866.1,-76
2024-06-26 14:00:55,12/2,866.1,-90
2024-06-26 14:10:56,9/14,866.1,-74
2024-06-26 14:13:26,9/14,865.7,-71
2024-06-26 14:24:17,17/8,865.9,-79
2024-06-26 14:25:57,10/14,866.1,-76
2024-06-26 14:40:07,18/8,865.9,-80
2024-06-26 14:48:28,11/8,866.1,-78
2024-06-26 14:58:28,16/2,866.3,-86
2024-06-26 15:00:58,9/14,865.9,-75
2024-06-26 15:07:39,10/14,865.7,-73
2024-06-26 15:21:49,14/8,866.3,-80
2024-06-26 15:24:20,13/2,866.1,-87
2024-06-26 15:33:30,14/8,865.7,-76
2024-06-26 15:41:50,19/8,865.9,-80
2024-06-26 15:49:21,14/2,866.1,-90
2024-06-26 16:06:02,12/8,866.1,-80
2024-06-26 16:15:12,17/2,866.3,-88
2024-06-26 16:16:02,10/14,865.9,-74
2024-06-26 16:29:23,11/14,865.9,-80
2024-06-26 16:41:54,12/14,865.9,-78
2024-06-26 16:47:44,15/2,866.1,-90
2024-06-26 17:17:45,11/14,865.7,-72
2024-06-26 17:26:56,15/8,866.3,-81
2024-06-26 17:29:26,13/8,866.1,-87
2024-06-26 17:34:26,12/14,865.7,-75
2024-06-26 17:45:17,13/2,865.9,-91
2024-06-26 17:51:07,15/8,865.7,-81
2024-06-26 18:07:48,13/14,865.7,-72
2024-06-26 18:11:58,11/14,866.1,-74
2024-06-26 18:26:09,10/2,865.7,-82
2024-06-26 18:39:30,14/2,865.9,-85
2024-06-26 19:27:52,15/2,865.9,-86
2024-06-26 19:36:12,20/8,865.9,-79
2024-06-26 19:44:33,16/8,866.3,-79
2024-06-26 19:45:23,16/2,866.1,-86
2024-06-26 19:54:33,13/14,865.9,-73
2024-06-26 20:11:14,16/2,865.9,-86
2024-06-26 20:12:54,16/8,865.7,-78
2024-06-26 20:19:35,21/8,865.9,-80
2024-06-26 20:28:45,17/2,865.9,-86
2024-06-26 20:31:15,17/8,865.7,-79
2024-06-26 20:34:35,18/2,865.9,-86
2024-06-26 21:00:27,22/8,865.9,-80
2024-06-26 21:07:57,17/8,866.3,-82
2024-06-26 21:19:38,12/14,866.1,-75
2024-06-26 21:35:29,18/8,865.7,-79
2024-06-26 21:43:49,17/2,866.1,-87
2024-06-26 21:55:30,14/8,866.1,-81
2024-06-26 22:03:50,14/14,865.9,-75
2024-06-26 22:12:10,13/14,866.1,-75
2024-06-26 22:13:00,19/2,865.9,-86
2024-06-26 22:15:31,11/14,866.3,-76
2024-06-26 22:26:21,11/2,865.7,-85
2024-06-26 22:33:02,12/2,865.7,-85
2024-06-26 22:48:52,15/8,866.1,-81
2024-06-26 22:50:32,14/14,866.1,-76
2024-06-26 23:00:33,12/14,866.3,-77
2024-06-26 23:01:23,16/8,866.1,-81
2024-06-26 23:02:13,14/14,865.7,-73
2024-06-26 23:12:14,15/14,865.7,-73
2024-06-26 23:18:54,19/8,865.7,-78
2024-06-26 23:52:16,13/14,866.3,-77
2024-06-26 23:58:06,15/14,865.9,-75
2024-06-27 00:04:46,16/14,865.7,-73
2024-06-27 00:08:56,20/2,865.9,-86
